ENSID	Gene
ENSG00000142599	RERE
ENSG00000232912	RERE-AS1
ENSG00000146463	ZMYM4
ENSG00000223944	RP5-1180C18.1
ENSG00000117016	RIMS3
ENSG00000162374	ELAVL4
ENSG00000078618	NRDC
ENSG00000162599	NFIA
ENSG00000184588	PDE4B
ENSG00000227207	RPL31P12
ENSG00000233008	LINC01725
ENSG00000237505	PKN2-AS1
ENSG00000234741	GAS5
ENSG00000143207	COP1
ENSG00000227579	RP1-35C21.2
ENSG00000198216	CACNA1E
ENSG00000134369	NAV1
ENSG00000231871	IPO9-AS1
ENSG00000230461	PROX1-AS1
ENSG00000042781	USH2A
ENSG00000196482	ESRRG
ENSG00000143801	PSEN2
ENSG00000054277	OPN3
ENSG00000185420	SMYD3
ENSG00000285622	
ENSG00000260077	RP11-254F7.2
ENSG00000151779	NBAS
ENSG00000233005	AC067959.1
ENSG00000228999	AC068490.1
ENSG00000171103	TRMT61B
ENSG00000228262	LINC01320
ENSG00000179915	NRXN1
ENSG00000271615	ACTG1P22
ENSG00000115392	FANCL
ENSG00000155052	CNTNAP5
ENSG00000144229	THSD7B
ENSG00000168702	LRP1B
ENSG00000075884	ARHGAP15
ENSG00000228655	AC096558.1
ENSG00000226674	TEX41
ENSG00000144278	GALNT13
ENSG00000136560	TANK
ENSG00000237844	AC092684.1
ENSG00000115840	SLC25A12
ENSG00000091428	RAPGEF4
ENSG00000138433	CIR1
ENSG00000170396	ZNF804A
ENSG00000178568	ERBB4
ENSG00000197585	AC107218.3
ENSG00000144460	NYAP2
ENSG00000273301	RP11-314B1.2
ENSG00000204120	GIGYF2
ENSG00000130294	KIF1A
ENSG00000144619	CNTN4
ENSG00000227110	LMCD1-AS1
ENSG00000154822	PLCL2
ENSG00000228956	SATB1-AS1
ENSG00000160746	ANO10
ENSG00000185219	ZNF445
ENSG00000233276	GPX1
ENSG00000157445	CACNA2D3
ENSG00000144724	PTPRG
ENSG00000151276	MAGI1
ENSG00000240405	SAMMSON
ENSG00000114861	FOXP1
ENSG00000185008	ROBO2
ENSG00000181722	ZBTB20
ENSG00000185565	LSAMP
ENSG00000174891	RSRC1
ENSG00000197584	KCNMB2
ENSG00000236297	EEF1A1P23
ENSG00000198836	OPA1
ENSG00000285708	
ENSG00000275163	
ENSG00000197386	HTT
ENSG00000169744	LDB2
ENSG00000185774	KCNIP4
ENSG00000163288	GABRB1
ENSG00000170448	NFXL1
ENSG00000249307	LINC01088
ENSG00000156269	NAA11
ENSG00000248510	LINC02267
ENSG00000164035	EMCN
ENSG00000164100	NDST3
ENSG00000138688	BLTP1
ENSG00000196782	MAML3
ENSG00000145416	MARCHF1
ENSG00000150625	GPM6A
ENSG00000218336	TENM3
ENSG00000287383	
ENSG00000248118	LINC01019
ENSG00000145526	CDH18
ENSG00000113100	CDH9
ENSG00000185305	ARL15
ENSG00000085365	SCAMP1
ENSG00000245864	MEF2C-AS2
ENSG00000250377	CTC-467M3.3
ENSG00000081189	MEF2C
ENSG00000113391	FAM172A
ENSG00000251574	RP11-6N13.1
ENSG00000249797	LINC02147
ENSG00000250891	LINC02208
ENSG00000260192	LINC02240
ENSG00000248752	RP11-114J13.1
ENSG00000145882	PCYOX1L
ENSG00000249484	LINC01470
ENSG00000170624	SGCD
ENSG00000241956	LINC03000
ENSG00000145934	TENM2
ENSG00000181163	NPM1
ENSG00000137265	IRF4
ENSG00000145982	FARS2
ENSG00000228412	LNC-LBCS
ENSG00000204092	LINC00951
ENSG00000188107	EYS
ENSG00000187772	LIN28B
ENSG00000047932	GOPC
ENSG00000188580	NKAIN2
ENSG00000164483	SAMD3
ENSG00000203727	SAMD5
ENSG00000120265	PCMT1
ENSG00000091831	ESR1
ENSG00000049618	ARID1B
ENSG00000185345	PRKN
ENSG00000112530	PACRG
ENSG00000285424	
ENSG00000002822	MAD1L1
ENSG00000176349	AC110781.3
ENSG00000174945	AMZ1
ENSG00000146555	SDK1
ENSG00000136240	KDELR2
ENSG00000122584	NXPH1
ENSG00000106460	TMEM106B
ENSG00000006468	ETV1
ENSG00000136267	DGKB
ENSG00000106537	TSPAN13
ENSG00000105866	SP4
