gene_symbol	ensembl_gene_id
CACNA1H	ENSG00000196557
VANGL1	ENSG00000173218
CDS2	ENSG00000101290
C1orf53	ENSG00000203724
GSTA1	ENSG00000243955
SCN4A	ENSG00000007314
KIAA1429	ENSG00000164944
MUM1	ENSG00000160953
NUDT12	ENSG00000112874
UCK2	ENSG00000143179
BAMBI	ENSG00000095739
RNGTT	ENSG00000111880
ATAD3C	ENSG00000215915
DSCC1	ENSG00000136982
POU6F1	ENSG00000184271
GLIS2	ENSG00000126603
GPR141	ENSG00000187037
LRRC69	ENSG00000214954
CTSS	ENSG00000163131
PRR12	ENSG00000126464
KLHDC8A	ENSG00000162873
GLIPR2	ENSG00000122694
MYO7A	ENSG00000137474
CRHBP	ENSG00000145708
ZNF592	ENSG00000166716
CLDND2	ENSG00000160318
CSNK2B	ENSG00000204435
CKS2	ENSG00000123975
FIGNL1	ENSG00000132436
EPB41L4A	ENSG00000129595
CXCR6	ENSG00000172215
RPL34	ENSG00000109475
EPB41L2	ENSG00000079819
GPR17	ENSG00000144230
RWDD2B	ENSG00000156253
MMRN1	ENSG00000138722
GFI1	ENSG00000162676
QRSL1	ENSG00000130348
CCDC6	ENSG00000108091
TRIM7	ENSG00000146054
CNTLN	ENSG00000044459
MPZL3	ENSG00000160588
TRAF2	ENSG00000127191
SLC26A1	ENSG00000145217
WFIKKN1	ENSG00000127578
UBALD2	ENSG00000185262
APOBEC3C	ENSG00000244509
ERI1	ENSG00000104626
ACOX3	ENSG00000087008
POLR2D	ENSG00000144231
HIGD2A	ENSG00000146066
FANCG	ENSG00000221829
RNF219	ENSG00000152193
ADORA2B	ENSG00000170425
INHBB	ENSG00000163083
GSTK1	ENSG00000197448
NODAL	ENSG00000156574
BANF1	ENSG00000175334
BNIP1	ENSG00000113734
NDEL1	ENSG00000166579
NPHP3	ENSG00000113971
SLC27A4	ENSG00000167114
EFCAB2	ENSG00000203666
WDR55	ENSG00000120314
CORO1C	ENSG00000110880
CYP4F12	ENSG00000186204
ALG1L	ENSG00000189366
HLA-DQB2	ENSG00000232629
SNX32	ENSG00000172803
STX2	ENSG00000111450
HLA-C	ENSG00000204525
SLC25A41	ENSG00000181240
NOP10	ENSG00000182117
PAPSS1	ENSG00000138801
SLC22A31	ENSG00000259803
VNN3	ENSG00000093134
LRRC37A	ENSG00000176681
NFRKB	ENSG00000170322
ULK4	ENSG00000168038
HLA-F	ENSG00000204642
MRPL23	ENSG00000214026
SH3BP1	ENSG00000100092
ATG10	ENSG00000152348
C15orf57	ENSG00000128891
IKBKE	ENSG00000263528
IRF6	ENSG00000117595
PILRB	ENSG00000121716
IQCB1	ENSG00000173226
MYCBPAP	ENSG00000136449
CYB5R2	ENSG00000166394
PMM2	ENSG00000140650
PLA2G16	ENSG00000176485
FBXO2	ENSG00000116661
ZADH2	ENSG00000180011
SYCE1L	ENSG00000205078
MICA	ENSG00000204520
AMH	ENSG00000104899
KIF16B	ENSG00000089177
AS3MT	ENSG00000214435
UHRF1BP1	ENSG00000065060
BTN3A2	ENSG00000186470
HLA-DRB5	ENSG00000198502
DGKQ	ENSG00000145214
RPA2	ENSG00000117748
SPSB2	ENSG00000111671
SPATA32	ENSG00000184361
MGMT	ENSG00000170430
ATP6AP1L	ENSG00000205464
CLEC18A	ENSG00000157322
RGPD8	ENSG00000169629
TOP1MT	ENSG00000184428
SCAPER	ENSG00000140386
ZP3	ENSG00000188372
FLYWCH1	ENSG00000059122
SMDT1	ENSG00000183172
SCGB3A1	ENSG00000161055
SPATC1L	ENSG00000160284
FAM118A	ENSG00000100376
DNLZ	ENSG00000213221
NT5C3B	ENSG00000141698
CLHC1	ENSG00000162994
CLCN1	ENSG00000188037
DPYSL4	ENSG00000151640
RHD	ENSG00000187010
UNC5B	ENSG00000107731
WBSCR27	ENSG00000165171
HLA-DQB1	ENSG00000179344
ARL16	ENSG00000214087
HSBP1L1	ENSG00000226742
SPATA20	ENSG00000006282
DDX11	ENSG00000013573
SIGLEC12	ENSG00000254521
PM20D1	ENSG00000162877
LDHC	ENSG00000166796
C17orf97	ENSG00000187624
SLC5A11	ENSG00000158865
LCN8	ENSG00000204001
SETD9	ENSG00000155542
THNSL2	ENSG00000144115
BTNL3	ENSG00000168903
ZFP57	ENSG00000204644
DSC1	ENSG00000134765
LRRC56	ENSG00000161328
HECTD3	ENSG00000126107
RAB13	ENSG00000143545
KIAA1683	ENSG00000130518
PQLC3	ENSG00000162976
HHAT	ENSG00000054392
ETS1	ENSG00000134954
IPO7	ENSG00000205339
PDGFC	ENSG00000145431
RRM2B	ENSG00000048392
ASB16	ENSG00000161664
PDE2A	ENSG00000186642
GNAO1	ENSG00000087258
NICN1	ENSG00000145029
DEGS1	ENSG00000143753
SLC11A2	ENSG00000110911
GJA4	ENSG00000187513
ENOPH1	ENSG00000145293
CDV3	ENSG00000091527
ASCC3	ENSG00000112249
PRDM2	ENSG00000116731
