locus	location	chrom	gene	aliases	biotype	sources	ensid	ld_block_index	ld_block
5	1p31.3	1	IL12RB2		protein_coding	candidate;closest	ENSG00000081985	41	chr1:66473721-68012212
7	1p13.2	1	AP4B1		protein_coding	candidate	ENSG00000134262	69	chr1:112730684-114331223
7	1p13.2	1	BCL2L15		protein_coding	candidate	ENSG00000188761	69	chr1:112730684-114331223
7	1p13.2	1	HIPK1		protein_coding	candidate	ENSG00000163349	69	chr1:112730684-114331223
7	1p13.2	1	PHTF1		protein_coding	candidate	ENSG00000116793	69	chr1:112730684-114331223
7	1p13.2	1	PTPN22		protein_coding	candidate;closest	ENSG00000134242	69	chr1:112730684-114331223
7	1p13.2	1	RSBN1		protein_coding	closest	ENSG00000081019	69	chr1:112730684-114331223
12	1q23.3	1	FCGR2A		protein_coding	candidate;closest	ENSG00000143226	79	chr1:159943258-162376931
12	1q23.3	1	FCGR2B		protein_coding	candidate	ENSG00000072694	79	chr1:159943258-162376931
12	1q23.3	1	FCGR3B		protein_coding	candidate	ENSG00000162747	79	chr1:159943258-162376931
15	1q23.3	1	FCGR3B		protein_coding	closest	ENSG00000162747		
17	1q25.1	1	TNFSF4		protein_coding	closest	ENSG00000117586	85	chr1:173128768-175120632
18	1q25.1	1	PRDX6-AS1		lncRNA	closest	ENSG00000203739	85	chr1:173128768-175120632
18	1q25.1	1	TNFSF4		protein_coding	candidate;closest	ENSG00000117586	85	chr1:173128768-175120632
20	1q25.1	1	PRDX6		protein_coding	candidate	ENSG00000117592	85	chr1:173128768-175120632
20	1q25.1	1	PRDX6-AS1		lncRNA	closest	ENSG00000203739	85	chr1:173128768-175120632
20	1q25.1	1	TNFSF4	OX40L	protein_coding	candidate	ENSG00000117586	85	chr1:173128768-175120632
22	1q25.3	1	NCF2		protein_coding	candidate;closest	ENSG00000116701	91	chr1:182786221-184626379
22	1q25.3	1	NMNAT2		protein_coding	closest	ENSG00000157064	91	chr1:182786221-184626379
22	1q25.3	1	SMG7		protein_coding	candidate	ENSG00000116698	91	chr1:182786221-184626379
23	1q25.3	1	NCF2		protein_coding	closest	ENSG00000116701	91	chr1:182786221-184626379
23	1q25.3	1	SMG7		protein_coding	candidate;closest	ENSG00000116698	91	chr1:182786221-184626379
24	1q25.3	1	NCF2		protein_coding	closest	ENSG00000116701	91	chr1:182786221-184626379
27	1q25.3	1	NCF2		protein_coding	closest	ENSG00000116701	91	chr1:182786221-184626379
28	1q25.3	1	EDEM3		protein_coding	closest	ENSG00000116406	92	chr1:184626379-186840891
34	1q32.1	1	IL10		protein_coding	candidate;closest	ENSG00000136634	105	chr1:206268085-208237019
